id,name,power,brand,category,subcategory,energyRating,efficiency,modelNumber
"sample_1","Samsung 4-Door French Door Refrigerator","180","Samsung","Appliances","Refrigerator","","High",""
"sample_2","LG Front Load Washer","500","LG","Appliances","Washing Machine","","High",""
"sample_3","Bosch Dishwasher","155","Bosch","Appliances","Dishwasher","","High",""
"sample_4","Philips LED Bulb 9W","9","Philips","Lighting","LED Bulbs","","High",""
"sample_5","Nest Learning Thermostat","3","Nest","Smart Home","Thermostats","","High",""
"sample_6","Dyson V15 Detect","240","Dyson","Appliances","Other","","Medium",""
"sample_7","Instant Pot Duo","1000","Instant Pot","Appliances","Other","","Medium",""
"sample_8","Ring Video Doorbell","2","Ring","Smart Home","Sensors","","High",""
"sample_9","Echo Dot 4th Gen","3","Amazon","Smart Home","Hubs","","High",""
"sample_10","Apple HomePod Mini","2","Apple","Smart Home","Hubs","","High",""
"sample_11","Google Nest Hub","2","Google","Smart Home","Hubs","","High",""
"sample_12","Samsung SmartThings Hub","2","Samsung","Smart Home","Hubs","","High",""
"sample_13","Philips Hue Bridge","1","Philips","Smart Home","Hubs","","High",""
"sample_14","Wemo Smart Plug","1","Belkin","Smart Home","Sensors","","High",""
"sample_15","TP-Link Kasa Smart Plug","1","TP-Link","Smart Home","Sensors","","High",""
"sample_16","Samsung 55"" QLED TV","120","Samsung","Appliances","Other","","Medium",""
"sample_17","LG 65"" OLED TV","150","LG","Appliances","Other","","Medium",""
"sample_18","Sony 75"" 4K TV","180","Sony","Appliances","Other","","Medium",""
"sample_19","Panasonic Microwave","1200","Panasonic","Appliances","Microwave","","Medium",""
"sample_20","Sharp Microwave","1100","Sharp","Appliances","Microwave","","Medium",""
"sample_21","Toshiba Microwave","1000","Toshiba","Appliances","Microwave","","Medium",""
"sample_22","GE Microwave","1200","GE","Appliances","Microwave","","Medium",""
"sample_23","Whirlpool Microwave","1100","Whirlpool","Appliances","Microwave","","Medium",""
"sample_24","KitchenAid Microwave","1000","KitchenAid","Appliances","Microwave","","Medium",""
"sample_25","Maytag Microwave","1200","Maytag","Appliances","Microwave","","Medium",""
"sample_26","Frigidaire Microwave","1100","Frigidaire","Appliances","Microwave","","Medium",""
"sample_27","Amana Microwave","1000","Amana","Appliances","Microwave","","Medium",""
"sample_28","Haier Microwave","1200","Haier","Appliances","Microwave","","Medium",""
"sample_29","Hisense Microwave","1100","Hisense","Appliances","Microwave","","Medium",""
"sample_30","TCL Microwave","1000","TCL","Appliances","Microwave","","Medium",""
"sample_31","Vizio Microwave","1200","Vizio","Appliances","Microwave","","Medium",""
"sample_32","Insignia Microwave","1100","Insignia","Appliances","Microwave","","Medium",""
"sample_33","Onn Microwave","1000","Onn","Appliances","Microwave","","Medium",""
"sample_34","RCA Microwave","1200","RCA","Appliances","Microwave","","Medium",""
"sample_35","JVC Microwave","1100","JVC","Appliances","Microwave","","Medium",""
"sample_36","Pioneer Microwave","1000","Pioneer","Appliances","Microwave","","Medium",""
"sample_37","Yamaha Microwave","1200","Yamaha","Appliances","Microwave","","Medium",""
"sample_38","Denon Microwave","1100","Denon","Appliances","Microwave","","Medium",""
"sample_39","Marantz Microwave","1000","Marantz","Appliances","Microwave","","Medium",""
"sample_40","Harman Kardon Microwave","1200","Harman Kardon","Appliances","Microwave","","Medium",""
"sample_41","Bose Microwave","1100","Bose","Appliances","Microwave","","Medium",""
"sample_42","Klipsch Microwave","1000","Klipsch","Appliances","Microwave","","Medium",""
"sample_43","Definitive Technology Microwave","1200","Definitive Technology","Appliances","Microwave","","Medium",""
"sample_44","MartinLogan Microwave","1100","MartinLogan","Appliances","Microwave","","Medium",""
"sample_45","Paradigm Microwave","1000","Paradigm","Appliances","Microwave","","Medium",""
"sample_46","Monitor Audio Microwave","1200","Monitor Audio","Appliances","Microwave","","Medium",""
"sample_47","B&W Microwave","1100","B&W","Appliances","Microwave","","Medium",""
"sample_48","KEF Microwave","1000","KEF","Appliances","Microwave","","Medium",""
"sample_49","Dynaudio Microwave","1200","Dynaudio","Appliances","Microwave","","Medium",""
"sample_50","Hisense Dishwasher","155","Hisense","Appliances","Dishwasher","","Medium",""
"oven_1","Bosch HBL8453UC 30"" Single Wall Oven","2400","Bosch","Appliances","Oven","","High",""
"oven_2","GE Profile P2B940YPFS 30"" Double Wall Oven","2600","GE","Appliances","Oven","","Medium",""
